Date,Time,Vendor,Employee,Amount,Location,Card Type,Transaction Type
5/17/23,22:01:43,Barry Group,Elizabeth Adams,289.77,"North Christina, Louisiana, Saint Pierre and Miquelon",AmEx,Purchase
12/17/23,16:51:49,Barry-White,Amanda Roberts,262.62,"Lake Vanessaview, Iowa, Belize",MasterCard,Purchase
1/15/24,5:54:22,Bautista Group,William Jackson,414.6,"South Davidtown, Virginia, Cote d'Ivoire",Visa,Purchase
6/30/23,6:41:55,Beasley-Peterson,John Barton,63.66,"East Carrie, South Carolina, Nepal",MasterCard,Purchase
8/30/23,23:35:26,"Beck, Davila and Watson",Cheyenne Jones,280.79,"Lake Lesliehaven, New Mexico, Micronesia",MasterCard,Purchase
6/16/23,23:46:39,"Beck, Sanford and Holmes",Dr. April Adams DDS,59.99,"Jessicaburgh, Wisconsin, Costa Rica",Visa,Purchase
8/16/23,3:11:00,Bell LLC,Kyle Wolfe,105.05,"Youngbury, Kentucky, South Georgia and the South Sandwich Islands",AmEx,Purchase
11/30/23,23:36:15,Bell-Duran,Julie Watkins,274.25,"New Erinfort, Oklahoma, Senegal",AmEx,Purchase
6/30/23,23:01:51,Bell-Kane,Carly Russell,395.15,"Lake Rachel, North Dakota, Costa Rica",MasterCard,Purchase
2/14/23,8:45:52,"Bennett, Castro and Elliott",Kyle Wolfe,144.21,"Robertshire, Georgia, Slovenia",AmEx,Purchase
10/11/23,1:39:42,"Bennett, Sims and Arnold",Tiffany Barrera,215.99,"East Cherylmouth, Colorado, Cape Verde",AmEx,Purchase
7/28/23,12:25:59,Benson LLC,Dawn Ramirez,216.02,"Melissashire, Nebraska, Saint Helena",AmEx,Purchase
5/11/23,10:59:22,Bentley-Beck,Alyssa Goodwin,91.22,"Annettemouth, Louisiana, Israel",Visa,Purchase
2/25/23,4:02:09,Berry-Aguilar,Carl Kelly,201.64,"Mariofurt, South Carolina, Reunion",Visa,Purchase
1/31/24,23:13:20,Blackburn and Sons,Jennifer Gray,158.06,"New Susan, New York, Estonia",MasterCard,Purchase
9/4/23,11:42:27,Blanchard LLC,Lauren Romero,55.42,"Campbellburgh, Arizona, Denmark",MasterCard,Purchase
8/11/23,14:09:03,"Blanchard, Ochoa and Clay",Jonathan Anderson,170.07,"Carolineton, Nebraska, Lesotho",AmEx,Purchase
7/19/23,17:26:22,"Blevins, Herrera and King",Mackenzie Graham,470.94,"West Louisville, Minnesota, Belarus",Visa,Purchase
3/5/23,0:32:43,"Bond, Green and Henry",Michael Long,210.51,"New Victorport, Virginia, Liberia",MasterCard,Purchase
10/18/23,21:17:09,"Bond, Hall and Figueroa",Marissa Myers,80.29,"Smithstad, Maine, Belize",Visa,Purchase
8/28/23,11:27:30,"Booker, Gonzalez and Lopez",Katie Schmitt,414.28,"Lake Josephfort, Minnesota, Congo",Visa,Purchase
12/22/23,7:12:52,"Boone, Murray and Hernandez",Jonathan Anderson,497.78,"Kingmouth, Texas, Iraq",MasterCard,Purchase
12/27/23,15:21:28,"Booth, Medina and Jones",Jennifer Townsend,422.72,"Foxton, Utah, Cyprus",AmEx,Purchase
5/30/23,10:49:03,Bowers Inc,Tiffany Ramirez,175.87,"Johnmouth, New Mexico, Mauritius",AmEx,Purchase
12/10/23,6:51:45,Boyer Ltd,Tyler Williams,142.86,"Gregoryview, Louisiana, Heard Island and McDonald Islands",Visa,Purchase
7/15/23,19:33:05,Bradley Inc,Shannon Guerra,76.91,"New Cynthiashire, Nebraska, Saint Martin",AmEx,Purchase
6/14/23,20:42:16,"Bradley, Mitchell and Henderson",Carly Russell,79.62,"Nicholasborough, Alaska, United States Virgin Islands",MasterCard,Purchase
6/30/23,18:18:31,Brennan Group,Dr. April Adams DDS,147.79,"Dustinhaven, Louisiana, Norway",AmEx,Purchase
3/13/23,16:33:59,"Bridges, Thornton and Thomas",John Wallace,240.85,"Lake David, Wyoming, Iraq",AmEx,Purchase
10/9/23,18:25:53,Brooks Group,Tyler Williams,312.74,"Port Mitchell, Maine, Thailand",MasterCard,Purchase
11/1/23,1:40:39,Brown Group,Brian Davies,281.61,"Lake Debbie, Texas, Argentina",MasterCard,Purchase
1/6/24,16:44:58,Brown Inc,Jonathan Anderson,138.33,"South Lindsey, South Dakota, Lithuania",MasterCard,Purchase
9/27/23,17:25:59,Brown LLC,Shannon Guerra,207.4,"North Kathy, Maine, Brazil",AmEx,Purchase
4/7/23,23:18:54,Brown-Carlson,Julie Chandler,100.81,"Kleinville, Ohio, Guernsey",Visa,Purchase
10/10/23,12:29:48,Brown-Edwards,Carly Russell,246.93,"Johnstonmouth, Missouri, Bouvet Island (Bouvetoya)",MasterCard,Purchase
8/1/23,22:14:07,Brown-Glass,Lauren Romero,241.64,"North Davidburgh, Oklahoma, Afghanistan",AmEx,Purchase
8/23/23,8:08:29,Brown-Russell,William Jackson,202.63,"Singletonview, Illinois, Malaysia",AmEx,Purchase
5/30/23,1:29:47,"Brown, Black and Silva",Wanda Sullivan,260.63,"South Michael, Maryland, Cuba",AmEx,Purchase
7/21/23,14:48:25,"Brown, Macias and Wilson",Rodney Williams Jr.,299.75,"Ronaldfort, California, Saint Kitts and Nevis",Visa,Purchase
11/15/23,12:11:39,Browning-Goodman,Katie Schmitt,295.45,"Gomezstad, Missouri, Grenada",MasterCard,Purchase
1/20/24,11:04:38,"Browning, Simmons and Johnson",Brian Davies,43.1,"Lake Mark, Arizona, Falkland Islands (Malvinas)",MasterCard,Purchase
2/12/24,4:06:54,"Burch, Powell and Roberts",Veronica Rivers,315.15,"Martinezside, Oklahoma, Fiji",Visa,Purchase
1/7/24,22:21:51,Burns and Sons,Wanda Sullivan,102.33,"Lake Steve, Maryland, Canada",Visa,Purchase
12/22/23,1:12:57,Burns Ltd,Julie Watkins,466.3,"Lake Stephanie, Arizona, Vanuatu",MasterCard,Purchase
9/28/23,5:50:10,"Camacho, Rose and Gomez",Tyler Williams,359.76,"Cantrellland, New York, Kenya",Visa,Purchase
9/17/23,19:36:19,Campbell-Davis,Rodney Williams Jr.,309.78,"North Marie, Kansas, Senegal",Visa,Purchase
9/4/23,6:09:05,Cardenas Group,William Jackson,235.2,"Brownhaven, California, Cocos (Keeling) Islands",Visa,Purchase
3/27/23,2:03:05,Carey-Walsh,Shannon Guerra,118.9,"Lake Rebecca, Nebraska, Bahamas",AmEx,Purchase
5/29/23,6:46:52,Carlson-Smith,Michael Long,169.47,"Lake Michael, Maryland, Malawi",AmEx,Purchase
5/9/23,5:13:40,Carlson-Wall,Daniel Johnson,289.17,"Grahamland, Kentucky, Cyprus",Visa,Purchase
4/1/23,2:48:40,Carpenter-Mcfarland,Daniel Johnson,443.46,"New Matthew, North Dakota, Belarus",AmEx,Purchase
9/13/23,22:54:32,Carr-Miller,Charles Thomas,264.23,"Matthewside, Connecticut, Bangladesh",MasterCard,Purchase
8/21/23,20:48:03,Carr-Sweeney,Tammy Parker,479.6,"East Stacy, North Dakota, British Indian Ocean Territory (Chagos Archipelago)",MasterCard,Purchase
7/7/23,18:35:43,Carroll LLC,Brian Davies,260.88,"South Bryan, Maryland, Costa Rica",MasterCard,Purchase
11/1/23,16:30:53,Carroll-Lester,Veronica Rivers,13.22,"Lake Triciamouth, Pennsylvania, Jersey",MasterCard,Purchase
11/29/23,12:33:50,Carter-Duncan,Carly Russell,365.68,"West Alextown, Arizona, Jamaica",AmEx,Purchase
6/12/23,19:51:24,Carter-Todd,Shannon Guerra,111.35,"New Robertton, Missouri, Singapore",MasterCard,Purchase
6/9/23,6:55:51,Case-White,Cindy Washington,439.45,"Torresmouth, Michigan, Ukraine",AmEx,Purchase
7/29/23,23:26:49,Casey-Phillips,Shannon Guerra,326.65,"Port Eric, Nevada, Holy See (Vatican City State)",Visa,Purchase
6/20/23,19:01:30,Casey-Walker,Carly Russell,408.04,"Port Vincent, Mississippi, Mauritania",Visa,Purchase
4/7/23,1:44:05,Castillo Inc,Christopher Hicks,470.48,"Clarkfurt, Arkansas, Falkland Islands (Malvinas)",AmEx,Purchase
5/31/23,12:40:10,"Castro, Barton and Wolf",Cindy Washington,175.78,"Lake Zachary, Virginia, Netherlands",Visa,Purchase
5/28/23,23:40:14,Cervantes LLC,John Barton,29.6,"East Dustinshire, Kentucky, Isle of Man",AmEx,Purchase
10/8/23,4:25:31,Chan-Lee,David Smith,386.94,"Jeanettestad, New Hampshire, Lesotho",Visa,Purchase
3/5/23,13:32:20,"Chan, Vega and Carrillo",Alyssa Ruiz,87.33,"North Erikborough, New York, Dominica",MasterCard,Purchase
3/12/23,20:17:47,"Chandler, Sanchez and Jones",Julie Chandler,284.28,"Erinchester, Michigan, Comoros",Visa,Purchase
12/22/23,6:17:27,Chapman Ltd,Rebecca Fisher,247.23,"South Emily, Utah, Finland",Visa,Purchase
6/15/23,23:08:51,Chapman PLC,Selena Nichols,407.37,"Snyderton, Texas, Djibouti",MasterCard,Purchase
2/16/23,12:18:41,Chavez-Salinas,Michael Long,267.76,"Fitzgeraldfurt, Connecticut, Saint Helena",Visa,Purchase
3/2/23,12:49:04,"Chavez, Webb and Roberts",Andrea Smith,312.89,"New Mathewburgh, Nebraska, United Arab Emirates",MasterCard,Purchase
12/31/23,12:12:30,"Chen, Miller and Johnson",Carl Kelly,156.91,"West Matthewtown, Ohio, Bolivia",MasterCard,Purchase
3/7/23,18:33:05,Christian and Sons,Elizabeth Adams,126.52,"West Lisamouth, New Mexico, Suriname",AmEx,Purchase
6/15/23,4:09:04,Clark and Sons,Michael Long,266.49,"Rowlandside, Georgia, Dominica",Visa,Purchase
2/2/24,10:54:31,Clark-Hughes,Selena Nichols,283.41,"North Catherine, Louisiana, Seychelles",AmEx,Purchase
1/2/24,19:39:31,"Clark, Henry and Gonzalez",Tyler Williams,268.71,"Lisamouth, Massachusetts, Vietnam",AmEx,Purchase
5/23/23,2:53:05,Cline Ltd,Charles Thomas,207.87,"New Andreabury, New Hampshire, Benin",Visa,Purchase
2/15/23,23:07:19,Cline-Stewart,Katie Schmitt,280.81,"East Craighaven, Utah, Mauritania",Visa,Purchase
2/20/23,21:05:06,Cloud Services Inc.,Veronica Rivers,99.99,"San Jose, CA, USA",AmEx,Purchase
2/25/23,19:07:27,Cloud Services Inc.,Julie Chandler,99.99,"San Jose, CA, USA",AmEx,Purchase
2/26/23,14:26:35,Cloud Services Inc.,William Jackson,99.99,"San Jose, CA, USA",Visa,Purchase
3/1/23,5:30:20,Cloud Services Inc.,Julie Watkins,99.99,"San Jose, CA, USA",Visa,Purchase
3/2/23,7:12:40,Cloud Services Inc.,Lauren Romero,99.99,"San Jose, CA, USA",AmEx,Purchase
3/7/23,22:38:41,Cloud Services Inc.,Barbara Miller,99.99,"San Jose, CA, USA",Visa,Purchase
3/19/23,9:52:12,Cloud Services Inc.,Amanda Roberts,99.99,"San Jose, CA, USA",Visa,Purchase
3/19/23,13:28:44,Cloud Services Inc.,Cindy Washington,99.99,"San Jose, CA, USA",MasterCard,Purchase
3/21/23,14:16:46,Cloud Services Inc.,Craig Roman,99.99,"San Jose, CA, USA",MasterCard,Purchase
3/31/23,11:52:05,Cloud Services Inc.,Veronica Rivers,99.99,"San Jose, CA, USA",MasterCard,Purchase
4/5/23,2:53:44,Cloud Services Inc.,Carly Russell,99.99,"San Jose, CA, USA",MasterCard,Purchase
4/8/23,16:01:47,Cloud Services Inc.,Veronica Rivers,99.99,"San Jose, CA, USA",AmEx,Purchase
4/11/23,9:09:19,Cloud Services Inc.,Patricia Herrera,99.99,"San Jose, CA, USA",AmEx,Purchase
4/11/23,21:14:54,Cloud Services Inc.,Mackenzie Graham,99.99,"San Jose, CA, USA",Visa,Purchase
4/12/23,19:04:26,Cloud Services Inc.,Alyssa Goodwin,99.99,"San Jose, CA, USA",AmEx,Purchase
4/19/23,0:12:45,Cloud Services Inc.,Alyssa Ruiz,99.99,"San Jose, CA, USA",MasterCard,Purchase
4/21/23,21:35:30,Cloud Services Inc.,Tiffany Barrera,99.99,"San Jose, CA, USA",AmEx,Purchase
4/30/23,17:51:39,Cloud Services Inc.,Zachary Lopez,99.99,"San Jose, CA, USA",AmEx,Purchase
5/5/23,7:31:11,Cloud Services Inc.,Cindy Washington,99.99,"San Jose, CA, USA",AmEx,Purchase
5/6/23,1:37:00,Cloud Services Inc.,Rodney Williams Jr.,99.99,"San Jose, CA, USA",MasterCard,Purchase
5/8/23,7:21:55,Cloud Services Inc.,Carl Kelly,99.99,"San Jose, CA, USA",Visa,Purchase
5/11/23,0:15:46,Cloud Services Inc.,Christopher Hicks,99.99,"San Jose, CA, USA",Visa,Purchase
5/23/23,19:26:53,Cloud Services Inc.,Victor Patel,99.99,"San Jose, CA, USA",Visa,Purchase
5/25/23,18:48:19,Cloud Services Inc.,Aaron Perez,99.99,"San Jose, CA, USA",AmEx,Purchase
5/28/23,4:04:36,Cloud Services Inc.,John Barton,99.99,"San Jose, CA, USA",Visa,Purchase
5/31/23,8:36:38,Cloud Services Inc.,Tiffany Ramirez,99.99,"San Jose, CA, USA",AmEx,Purchase
6/15/23,23:30:03,Cloud Services Inc.,Kyle Wolfe,99.99,"San Jose, CA, USA",AmEx,Purchase
6/17/23,7:17:58,Cloud Services Inc.,Barbara Miller,99.99,"San Jose, CA, USA",MasterCard,Purchase
6/17/23,8:35:13,Cloud Services Inc.,Colleen Butler,99.99,"San Jose, CA, USA",AmEx,Purchase
6/18/23,7:47:39,Cloud Services Inc.,Zachary Lopez,99.99,"San Jose, CA, USA",MasterCard,Purchase
6/22/23,4:21:26,Cloud Services Inc.,Dawn Ramirez,99.99,"San Jose, CA, USA",AmEx,Purchase
6/24/23,2:04:50,Cloud Services Inc.,Katie Schmitt,99.99,"San Jose, CA, USA",AmEx,Purchase
7/5/23,6:55:06,Cloud Services Inc.,David Smith,99.99,"San Jose, CA, USA",Visa,Purchase
7/10/23,0:06:31,Cloud Services Inc.,Marissa Myers,99.99,"San Jose, CA, USA",AmEx,Purchase
7/12/23,14:56:26,Cloud Services Inc.,Victor Patel,99.99,"San Jose, CA, USA",Visa,Purchase
7/13/23,16:14:28,Cloud Services Inc.,Alyssa Ruiz,99.99,"San Jose, CA, USA",Visa,Purchase
7/16/23,19:09:46,Cloud Services Inc.,Tiffany Barrera,99.99,"San Jose, CA, USA",AmEx,Purchase
7/20/23,18:50:06,Cloud Services Inc.,Charles Thomas,99.99,"San Jose, CA, USA",MasterCard,Purchase
7/24/23,0:48:30,Cloud Services Inc.,Michael Long,99.99,"San Jose, CA, USA",AmEx,Purchase
7/25/23,15:09:03,Cloud Services Inc.,Michael Long,99.99,"San Jose, CA, USA",MasterCard,Purchase
7/28/23,13:34:28,Cloud Services Inc.,Lauren Romero,99.99,"San Jose, CA, USA",MasterCard,Purchase
8/7/23,23:46:49,Cloud Services Inc.,William Jackson,99.99,"San Jose, CA, USA",Visa,Purchase
8/12/23,11:12:57,Cloud Services Inc.,Aaron Perez,99.99,"San Jose, CA, USA",Visa,Purchase
8/19/23,8:20:23,Cloud Services Inc.,John Barton,99.99,"San Jose, CA, USA",AmEx,Purchase
8/21/23,4:39:48,Cloud Services Inc.,Cindy Washington,99.99,"San Jose, CA, USA",AmEx,Purchase
8/28/23,3:09:28,Cloud Services Inc.,Cindy Washington,99.99,"San Jose, CA, USA",MasterCard,Purchase
9/12/23,16:24:58,Cloud Services Inc.,Carly Russell,99.99,"San Jose, CA, USA",MasterCard,Purchase
9/24/23,19:34:35,Cloud Services Inc.,Tammy Parker,99.99,"San Jose, CA, USA",AmEx,Purchase
10/4/23,5:49:42,Cloud Services Inc.,John Wallace,99.99,"San Jose, CA, USA",AmEx,Purchase
10/9/23,2:00:22,Cloud Services Inc.,Barbara Miller,99.99,"San Jose, CA, USA",MasterCard,Purchase
10/12/23,8:13:51,Cloud Services Inc.,Jennifer Townsend,99.99,"San Jose, CA, USA",MasterCard,Purchase
10/29/23,18:44:41,Cloud Services Inc.,Jennifer Gray,99.99,"San Jose, CA, USA",MasterCard,Purchase
11/1/23,8:33:42,Cloud Services Inc.,Wanda Sullivan,99.99,"San Jose, CA, USA",AmEx,Purchase
11/2/23,10:15:06,Cloud Services Inc.,Tiffany Barrera,99.99,"San Jose, CA, USA",AmEx,Purchase
11/4/23,23:36:27,Cloud Services Inc.,Shannon Guerra,99.99,"San Jose, CA, USA",Visa,Purchase
11/10/23,2:22:13,Cloud Services Inc.,Kyle Wolfe,99.99,"San Jose, CA, USA",MasterCard,Purchase
11/15/23,17:19:18,Cloud Services Inc.,Zachary Lopez,99.99,"San Jose, CA, USA",AmEx,Purchase
11/15/23,18:11:55,Cloud Services Inc.,Tiffany Barrera,99.99,"San Jose, CA, USA",Visa,Purchase
11/17/23,20:18:35,Cloud Services Inc.,Lauren Romero,99.99,"San Jose, CA, USA",AmEx,Purchase
11/26/23,15:28:29,Cloud Services Inc.,Zachary Lopez,99.99,"San Jose, CA, USA",MasterCard,Purchase
11/28/23,21:01:20,Cloud Services Inc.,Aaron Perez,99.99,"San Jose, CA, USA",MasterCard,Purchase
12/2/23,4:59:20,Cloud Services Inc.,Ana Gates,99.99,"San Jose, CA, USA",AmEx,Purchase
12/13/23,19:33:41,Cloud Services Inc.,Aaron Perez,99.99,"San Jose, CA, USA",MasterCard,Purchase
12/21/23,23:14:08,Cloud Services Inc.,Nicole Hamilton,99.99,"San Jose, CA, USA",MasterCard,Purchase
12/24/23,14:33:41,Cloud Services Inc.,John Wallace,99.99,"San Jose, CA, USA",MasterCard,Purchase
12/25/23,3:19:47,Cloud Services Inc.,Alyssa Goodwin,99.99,"San Jose, CA, USA",MasterCard,Purchase
12/30/23,13:32:53,Cloud Services Inc.,Dawn Ramirez,99.99,"San Jose, CA, USA",Visa,Purchase
1/4/24,0:27:42,Cloud Services Inc.,Tammy Parker,99.99,"San Jose, CA, USA",MasterCard,Purchase
1/4/24,15:32:22,Cloud Services Inc.,Alyssa Goodwin,99.99,"San Jose, CA, USA",MasterCard,Purchase
2/10/24,1:01:20,Cloud Services Inc.,Rodney Williams Jr.,99.99,"San Jose, CA, USA",Visa,Purchase
2/14/24,17:14:02,Cloud Services Inc.,Julie Chandler,99.99,"San Jose, CA, USA",MasterCard,Purchase
8/2/23,18:21:24,"Coffey, Hill and Owens",Dawn Ramirez,139.21,"Leslieberg, Florida, Tokelau",MasterCard,Purchase
7/3/23,10:40:53,Cole-Young,Julie Watkins,262.8,"New Daisyfort, Arizona, Iran",Visa,Purchase
7/23/23,10:11:30,Coleman Group,Ana Gates,171.18,"Parksborough, Texas, Brunei Darussalam",AmEx,Purchase
4/22/23,15:52:56,Coleman-Heath,Charles Thomas,47.69,"Rossfort, Wisconsin, Saint Helena",MasterCard,Purchase
8/27/23,9:31:33,Coleman-Sanchez,Cindy Washington,113.84,"Kristinhaven, Vermont, Azerbaijan",MasterCard,Purchase
8/27/23,17:18:57,Collins Ltd,Barbara Miller,421.87,"Port Antoniohaven, New Jersey, Yemen",Visa,Purchase
12/10/23,10:46:00,Combs Group,Lauren Romero,129.92,"South Andreafurt, Maryland, Mauritius",MasterCard,Purchase
11/13/23,17:28:21,Conley Inc,Christopher Hicks,358.13,"North Julie, Idaho, Palestinian Territory",Visa,Purchase
9/22/23,18:38:24,Conway-Miller,Kyle Wolfe,280.09,"South Edwardside, South Carolina, Faroe Islands",Visa,Purchase
10/20/23,14:29:54,Cook and Sons,Tiffany Ramirez,318.88,"South Ronald, North Carolina, Saint Kitts and Nevis",MasterCard,Purchase
2/27/23,2:25:17,Cook PLC,Cindy Washington,407.79,"Lake Tiffanyburgh, North Dakota, Western Sahara",MasterCard,Purchase
1/19/24,8:10:52,Cooper-Porter,Jonathan Anderson,336.21,"East Michael, Wisconsin, Chad",Visa,Purchase
5/9/23,14:19:45,"Cooper, Leon and Fuller",Carly Russell,98.63,"Wadeside, Iowa, Burkina Faso",Visa,Purchase
8/13/23,9:29:13,Cortez-Garcia,William Jackson,489.2,"New Jesse, South Dakota, Brazil",Visa,Purchase
7/4/23,17:24:42,Craig-Fox,Katie Schmitt,52.28,"Galvanberg, Utah, Bouvet Island (Bouvetoya)",Visa,Purchase
9/9/23,22:25:42,"Crane, Walters and Donaldson",Patricia Herrera,398.02,"Port Bonnieview, Alabama, Gibraltar",AmEx,Purchase
11/10/23,16:31:09,"Crawford, Rodriguez and Phillips",Rodney Williams Jr.,19.78,"Lake Carol, Vermont, Pitcairn Islands",AmEx,Purchase
5/6/23,9:33:47,Cummings PLC,Jennifer Gray,442.11,"Taylorberg, Arizona, Ireland",MasterCard,Purchase
6/27/23,17:04:39,"Cunningham, Duncan and Davidson",Jennifer Townsend,239.99,"East Katherine, Alaska, Burundi",AmEx,Purchase
10/21/23,15:35:32,"Cunningham, Russell and Hughes",Carly Russell,207.21,"Dianaview, New Hampshire, Rwanda",MasterCard,Purchase
8/25/23,11:22:18,Curry-Bishop,Brian Davies,326.11,"New Jason, North Carolina, Vietnam",Visa,Purchase
7/5/23,5:16:15,Curry-Little,Julie Watkins,133.46,"Klineland, Illinois, Sierra Leone",AmEx,Purchase
12/17/23,4:16:18,Curtis-Martinez,Alyssa Ruiz,202.94,"Kennethton, Nevada, Sierra Leone",Visa,Purchase
7/24/23,7:18:16,"Daniels, Reed and Scott",Rodney Williams Jr.,446.97,"Michaelmouth, North Carolina, Ecuador",AmEx,Purchase
6/18/23,3:34:57,"Davenport, Pacheco and Bates",Selena Nichols,16.67,"Martinezfort, Rhode Island, Azerbaijan",Visa,Purchase
1/14/24,8:03:06,Davidson-Williams,Jennifer Gray,73.44,"North Teresachester, North Dakota, Pitcairn Islands",AmEx,Purchase
1/22/24,9:08:22,Davies LLC,Alyssa Ruiz,8.55,"North Brandon, Minnesota, Puerto Rico",AmEx,Purchase
1/2/24,1:43:39,Davis-Grant,Amanda Roberts,117.49,"Marymouth, Maine, Northern Mariana Islands",MasterCard,Purchase
11/25/23,4:21:38,Davis-Myers,Elizabeth Adams,114.03,"Adkinsmouth, Massachusetts, Heard Island and McDonald Islands",Visa,Purchase
9/18/23,18:11:54,"Davis, Anderson and Hicks",Jennifer Townsend,443.63,"Danielside, Texas, Iceland",MasterCard,Purchase
12/1/23,8:39:44,"Davis, Walsh and Dalton",Patricia Herrera,109.47,"East Michael, North Dakota, Brazil",AmEx,Purchase
5/13/23,5:16:53,Decker-Craig,Lauren Romero,72.28,"Jasonbury, Connecticut, Sri Lanka",AmEx,Purchase
1/26/24,6:59:16,Deleon Group,Cheyenne Jones,420.04,"Johnton, Louisiana, United States of America",Visa,Purchase
6/25/23,13:25:41,Delgado Group,Julie Chandler,10.62,"Lake Anna, Nevada, Colombia",Visa,Purchase
6/14/23,2:36:55,Dennis LLC,Marissa Myers,371.08,"East Beckyport, Vermont, Comoros",Visa,Purchase
10/13/23,6:32:43,Dennis-Davis,Katie Schmitt,479.78,"North Brandon, Connecticut, Japan",AmEx,Purchase
